festival,award,year,english_title,current_chinese_title,taiwan_title_candidate,hong_kong_title_candidate,china_title_candidate,confidence,status,notes
oscar,Academy Award for Best Picture,1927,Wings,飛機大戰「翼」,,飛機大戰「翼」,铁翼雄风,medium,needs_source,Wikidata: Q272036
oscar,Academy Award for Best Picture,1928,The Broadway Melody,百老滙之歌,,百老滙之歌,红伶秘史,medium,needs_source,Wikidata: Q463620
oscar,Academy Award for Best Picture,1930,Cimarron,殖邊壯史,,殖邊壯史,壮志千秋,medium,needs_source,Wikidata: Q251997
oscar,Academy Award for Best Picture,1931,Grand Hotel,逆旅奇觀,,逆旅奇觀,大饭店,medium,needs_source,Wikidata: Q246656
oscar,Academy Award for Best Picture,1932,Cavalcade,百戰忠魂,,百戰忠魂,气壮山河,medium,needs_source,Wikidata: Q753107
oscar,Academy Award for Best Picture,1935,Mutiny on the Bounty,叛艦喋血記,,叛艦喋血記,叛艦喋血記,medium,needs_source,Wikidata: Q329709
oscar,Academy Award for Best Picture,1936,The Great Ziegfeld,歌舞大王昔飛路,,歌舞大王昔飛路,歌舞大王齊格飛,medium,needs_source,Wikidata: Q470218
oscar,Academy Award for Best Picture,1937,The Life of Emile Zola,左拉光榮傳,,左拉光榮傳,左拉传,medium,needs_source,Wikidata: Q738552
oscar,Academy Award for Best Picture,1938,You Can't Take It with You,浮生若夢,,浮生若夢,浮生若夢,medium,needs_source,Wikidata: Q637835
oscar,Academy Award for Best Picture,1940,Rebecca,蝴蝶梦,,,蝴蝶梦,medium,needs_source,Wikidata: Q204212
oscar,Academy Award for Best Picture,1941,How Green Was My Valley,父慈子孝,,父慈子孝,翡翠谷,medium,needs_source,Wikidata: Q244448
oscar,Academy Award for Best Picture,1942,Mrs. Miniver,戰雲鵑血,,戰雲鵑血,忠勇之家,medium,needs_source,Wikidata: Q478371
oscar,Academy Award for Best Picture,1944,Going My Way,与我同行,,,与我同行,medium,needs_source,Wikidata: Q468877
oscar,Academy Award for Best Picture,1947,Gentleman's Agreement,君子協定,,君子協定,君子協定,medium,needs_source,Wikidata: Q898840
oscar,Academy Award for Best Picture,1949,All the King's Men,當代奸雄,,當代奸雄,当代奸雄,medium,needs_source,Wikidata: Q817159
oscar,Academy Award for Best Picture,1952,The Greatest Show on Earth,戲王之王,,戲王之王,戲中之王,medium,needs_source,Wikidata: Q641061
cannes,Palme d'Or,1946,Brief Encounter,偷情記,,偷情記,相见恨晚,low,pending,Wikidata: Q814296; Cannes 1946 tied winner (Grand Prix du Festival International du Film)
cannes,Palme d'Or,1946,The Last Chance,最後的機會,,,最後的機會,low,pending,Wikidata: Q671940; Cannes 1946 tied winner (Grand Prix du Festival International du Film)
cannes,Palme d'Or,1946,María Candelaria,瑪利亞·康德萊麗亞,,,瑪利亞·康德萊麗亞,low,pending,Wikidata: Q2578176; Cannes 1946 tied winner (Grand Prix du Festival International du Film)
cannes,Palme d'Or,1946,Men Without Wings,沒有翅膀的男人,,,沒有翅膀的男人,low,pending,Wikidata: Q2280650; Cannes 1946 tied winner (Grand Prix du Festival International du Film)
cannes,Palme d'Or,1946,Neecha Nagar,下層都市,,,下層都市,low,pending,Wikidata: Q427915; Cannes 1946 tied winner (Grand Prix du Festival International du Film)
cannes,Palme d'Or,1946,Pastoral Symphony,田園交響曲,,,田園交響曲,low,pending,Wikidata: Q2553634; Cannes 1946 tied winner (Grand Prix du Festival International du Film)
cannes,Palme d'Or,1946,The Red Meadows,大地將變成紅色,,,大地將變成紅色,low,pending,Wikidata: Q1757020; Cannes 1946 tied winner (Grand Prix du Festival International du Film)
cannes,Palme d'Or,1946,Torment,折磨,,,折磨,low,pending,Wikidata: Q2290980; Cannes 1946 tied winner (Grand Prix du Festival International du Film)
cannes,Palme d'Or,1946,The Turning Point,轉折點（1945年電影）,,,轉折點（1945年電影）,low,pending,Wikidata: Q945852; Cannes 1946 tied winner (Grand Prix du Festival International du Film)
cannes,Palme d'Or,1947,Antoine and Antoinette (Best Psychological & Love Film),安东与安东妮,,,安东与安东妮,low,pending,Wikidata: Q2279661
cannes,Palme d'Or,1947,Crossfire (Best Social Film),雙雄鬥智,,雙雄鬥智,雙雄鬥智,low,pending,Wikidata: Q632718
cannes,Palme d'Or,1947,Dumbo (Best Animation Design),小飞象,,,小飞象,medium,needs_source,Wikidata: Q40895
cannes,Palme d'Or,1947,The Damned (Best Adventure & Crime Film),詛咒合唱團,,,詛咒合唱團,low,pending,Wikidata: Q3233764
cannes,Palme d'Or,1947,Ziegfeld Follies (Best Musical Comedy),昔飛路歌舞團,,昔飛路歌舞團,齐格菲歌舞团,low,pending,Wikidata: Q2186004
cannes,Palme d'Or,1951,Miss Julie,茱莉小姐,,,茱莉小姐,low,pending,Wikidata: Q1471325
cannes,Palme d'Or,1952,Othello,黑將軍奧瑟羅,,黑將軍奧瑟羅,奥赛罗 (1952年电影),low,pending,Wikidata: Q2704454
cannes,Palme d'Or,1952,Two Cents Worth of Hope,兩分錢的希望,,,兩分錢的希望,low,pending,Wikidata: Q2459872
cannes,Palme d'Or,1954,Gate of Hell,地獄門,,地獄門,地獄門,medium,needs_source,Wikidata: Q862708
cannes,Palme d'Or,1957,Friendly Persuasion,四海一家,,四海一家,四海一家,low,pending,Wikidata: Q1621402
cannes,Palme d'Or,1958,The Cranes Are Flying,仙鶴飛翔,,仙鶴飛翔,雁南飞,medium,needs_source,Wikidata: Q714524
cannes,Palme d'Or,1959,Black Orpheus §,人生長恨水長東,,人生長恨水長東,黑人奥菲尔,low,pending,Wikidata: Q538266
cannes,Palme d'Or,1960,La dolce vita §,,,,,low,pending,
cannes,Palme d'Or,1961,The Long Absence §,長時間缺席,,,長時間缺席,low,pending,Wikidata: Q2661411
cannes,Palme d'Or,1962,O Pagador de Promessas §,诺言 (1962年电影),,,诺言 (1962年电影),low,pending,Wikidata: Q1482269
cannes,Palme d'Or,1964,The Umbrellas of Cherbourg,愛果情花,,愛果情花,瑟堡的雨伞,medium,needs_source,Wikidata: Q163868
cannes,Palme d'Or,1965,The Knack ...and How to Get It,色情男女,,色情男女,色情男女,low,pending,Wikidata: Q1198726
cannes,Palme d'Or,1966,"The Birds, the Bees and the Italians",意大利慾潮,,意大利慾潮,意大利慾潮,low,pending,Wikidata: Q319275
cannes,Palme d'Or,1969,If....,如果…,,如果…,如果…,medium,needs_source,Wikidata: Q1346745
venice,Golden Lion,1950,Justice Is Done,伸張正義,,,伸張正義,low,pending,Wikidata: Q2283907
venice,Golden Lion,1952,Forbidden Games,禁止的遊戲,,禁止的遊戲,禁忌的遊戲,medium,needs_source,Wikidata: Q976558
venice,Golden Lion,1955,Ordet,太初有道,,太初有道,復活,medium,needs_source,Wikidata: Q2352630
venice,Golden Lion,1957,Aparajito,大河之歌,,,大河之歌,low,pending,Wikidata: Q622382
venice,Golden Lion,1958,Rickshaw Man,手車伕之戀,,手車伕之戀,車伕松五郎,low,pending,Wikidata: Q1060505
venice,Golden Lion,1959,General Della Rovere,罗维雷将军,,,罗维雷将军,low,pending,Wikidata: Q862713
venice,Golden Lion,1960,Tomorrow Is My Turn,通過萊茵河,,,通過萊茵河,low,pending,Wikidata: Q744482
venice,Golden Lion,1961,Last Year at Marienbad,去年在馬倫巴,,,去年在馬倫巴,medium,needs_source,Wikidata: Q225355
venice,Golden Lion,1962,Family Diary,家庭日記,,,家庭日記,low,pending,Wikidata: Q1754854
venice,Golden Lion,1963,Hands over the City,操縱城市的手,,,操縱城市的手,low,pending,Wikidata: Q2253732
venice,Golden Lion,1965,Sandra,北斗七星 (电影),,,北斗七星 (电影),low,pending,Wikidata: Q1816145
venice,Golden Lion,1966,The Battle of Algiers,阿爾及爾之戰,,,阿尔及尔之战,medium,needs_source,Wikidata: Q784812
venice,Golden Lion,1968,Artists Under the Big Top: Perplexed,帳棚頂上的馬戲團藝人,,,帳棚頂上的馬戲團藝人,low,pending,Wikidata: Q573953
berlin,Golden Bear,1951,Four in a Jeep (Drama),吉普車中的四人,,,吉普車中的四人,low,pending,Wikidata: Q520462; Berlin 1951 winner in specific genre category (Golden Bear)
berlin,Golden Bear,1951,Without Leaving an Address (Comedy),,,,,low,pending,Wikidata: Q1403096; Berlin 1951 winner in specific genre category (Golden Bear)
berlin,Golden Bear,1951,In Beaver Valley (Documentary),海狸谷,,,海狸谷,low,pending,Wikidata: Q3213438; Berlin 1951 winner in specific genre category (Golden Bear)
berlin,Golden Bear,1951,Justice Is Done (Thriller & Adventure),伸張正義,,,伸張正義,low,pending,Wikidata: Q2283907; Berlin 1951 winner in specific genre category (Golden Bear)
berlin,Golden Bear,1952,One Summer of Happiness,天體鴛鴦,,天體鴛鴦,一個幸福的夏天,low,pending,Wikidata: Q1536123
berlin,Golden Bear,1954,Hobson's Choice,女大不中留,,,女大不中留,low,pending,Wikidata: Q1613944
berlin,Golden Bear,1955,Die Ratten,,,,,low,pending,Wikidata: Q554975
berlin,Golden Bear,1956,Invitation to the Dance,心聲幻影,,心聲幻影,心声幻影,low,pending,Wikidata: Q1308277
berlin,Golden Bear,1957,12 Angry Men,,,,,low,pending,
berlin,Golden Bear,1959,Les Cousins,表兄弟,,,表兄弟,medium,needs_source,Wikidata: Q141557
berlin,Golden Bear,1960,El Lazarillo de Tormes,小癞子,,,托梅斯的導盲犬,medium,needs_source,Wikidata: Q281677
berlin,Golden Bear,1961,La Notte,夜,,,夜,medium,needs_source,Wikidata: Q1215047
berlin,Golden Bear,1963,"Bushido, Samurai Saga",武士道殘酷物語,,,武士道殘酷物語,low,pending,Wikidata: Q1403726
berlin,Golden Bear,1963,To Bed or Not to Bed,恶魔,,,恶魔,low,pending,Wikidata: Q474072
berlin,Golden Bear,1964,Dry Summer,干涸的夏天,,,干涸的夏天,low,pending,Wikidata: Q1542380
berlin,Golden Bear,1966,Cul-de-Sac,孤島驚魂,,孤島驚魂,荒島驚魂,low,pending,Wikidata: Q1637787
berlin,Golden Bear,1967,Le Départ,出發,,出發,出發吧！戀人們,low,pending,Wikidata: Q1197125
berlin,Golden Bear,1968,Who Saw Him Die?,教師之死,,,教師之死,low,pending,Wikidata: Q532112
berlin,Golden Bear,1969,Early Works,第一份工作,,,第一份工作,low,pending,Wikidata: Q2026238
cannes,Palme d'Or,1939,Union Pacific,和平联盟 (电影),,,和平联盟 (电影),low,pending,Wikidata: Q1930992
venice,Mussolini Cup (Best Foreign Film),1934,Man of Aran,阿伦人,,,阿伦人,low,pending,Wikidata: Q1214986; Mussolini Cup for Best Foreign Film
venice,Mussolini Cup (Best Italian Film),1934,Teresa Confalonieri,,,,,low,pending,Mussolini Cup for Best Italian Film
venice,Mussolini Cup (Best Foreign Film),1935,Anna Karenina,春殘夢斷,,春殘夢斷,安娜·卡列尼娜,low,pending,Wikidata: Q561208; Mussolini Cup for Best Foreign Film
venice,Mussolini Cup (Best Italian Film),1935,Casta Diva,幻影,,,幻影,low,pending,Wikidata: Q2941333; Mussolini Cup for Best Italian Film
venice,Mussolini Cup (Best Foreign Film),1936,Der Kaiser von Kalifornien,加利福尼亚的皇帝,,,加利福尼亚的皇帝,low,pending,Wikidata: Q481091; Mussolini Cup for Best Foreign Film
venice,Mussolini Cup (Best Italian Film),1936,Lo squadrone bianco,,,,,low,pending,Mussolini Cup for Best Italian Film
venice,Mussolini Cup (Best Foreign Film),1937,Un carnet de bal,,,,,low,pending,Mussolini Cup for Best Foreign Film
